update,mean_coopval,mean_foodval,count
385,0.5,300,1
386,0.5,300,1
387,0.5,300,1
388,0.5,300,1
389,0.5,300,1
390,0.5,300,1
391,0.5,300,1
392,0.5,300,1
393,0.5,300,1
394,0.5,300,1
395,0.5,300,1
396,0.5,300,1
397,0.5,300,1
398,0.5,300,1
399,0.5,300,1
400,0.5,300,1
401,0.5,300,1
402,0.5,300,1
403,0.5,300,1
404,0.5,300,1
405,0.5,300,1
406,0.5,300,1
407,0.5,300,1
408,0.5,300,1
409,0.5,300,1
410,0.5,300,1
411,0.5,300,1
412,0.5,300,1
413,0.5,300,1
414,0.5,300,1
415,0.5,300,1
416,0.5,300,1
417,0.5,300,1
418,0.5,300,1
419,0.5,300,1
420,0.5,300,1
421,0.5,300,1
422,0.5,300,1
423,0.5,300,1
424,0.5,300,1
425,0.5,300,1
426,0.5,300,1
427,0.5,300,1
428,0.5,300,1
429,0.5,300,1
430,0.5,300,1
431,0.5,300,1
432,0.5,300,1
433,0.5,300,1
434,0.5,300,1
435,0.5,300,1
436,0.5,300,1
437,0.5,300,1
438,0.5,300,1
439,0.5,300,1
440,0.5,300,1
441,0.5,300,1
442,0.5,300,1
443,0.5,300,1
444,0.5,300,1
445,0.5,300,1
446,0.5,300,1
447,0.5,300,1
448,0.5,300,1
449,0.5,300,1
450,0.5,300,1
451,0.5,300,1
452,0.5,300,1
453,0.5,300,1
454,0.5,300,1
455,0.5,300,1
456,0.5,300,1
457,0.5,300,1
458,0.5,300,1
459,0.5,300,1
460,0.5,300,1
461,0.5,300,1
462,0.5,300,1
463,0.5,300,1
464,0.5,300,1
465,0.5,300,1
466,0.5,300,1
467,0.5,300,1
468,0.5,300,1
469,0.5,300,1
470,0.5,300,1
471,0.5,300,1
472,0.5,300,1
473,0.5,300,1
474,0.5,300,1
475,0.5,300,1
476,0.5,300,1
477,0.5,300,1
478,0.5,300,1
479,0.5,300,1
480,0.5,300,1
481,0.5,300,1
482,0.5,300,1
483,0.5,300,1
484,0.5,300,1
485,0.5,300,1
486,0.5,300,1
487,0.5,300,1
488,0.5,300,1
489,0.5,300,1
490,0.5,300,1
491,0.5,300,1
492,0.5,300,1
493,0.5,300,1
494,0.5,300,1
495,0.5,300,1
496,0.5,300,1
497,0.5,300,1
498,0.5,300,1
499,0.5,300,1
500,0.5,300,1
501,0.5,300,1
502,0.5,300,1
503,0.5,300,1
504,0.5,300,1
505,0.5,300,1
506,0.5,300,1
507,0.5,300,1
508,0.5,300,1
509,0.5,300,1
510,0.5,300,1
511,0.5,300,1
512,0.5,300,1
513,0.5,300,1
514,0.5,300,1
515,0.5,300,1
516,0.5,300,1
517,0.5,300,1
518,0.5,300,1
519,0.5,300,1
520,0.5,300,1
521,0.5,300,1
522,0.5,300,1
523,0.5,300,1
524,0.5,300,1
525,0.5,300,1
526,0.5,300,1
527,0.5,300,1
528,0.5,300,1
529,0.5,300,1
530,0.5,300,1
531,0.5,300,1
532,0.5,300,1
533,0.5,300,1
534,0.5,300,1
535,0.5,300,1
536,0.5,300,1
537,0.5,300,1
538,0.5,300,1
539,0.5,300,1
540,0.5,300,1
541,0.5,300,1
542,0.5,300,1
543,0.5,300,1
544,0.5,300,1
545,0.5,300,1
546,0.5,300,1
547,0.5,300,1
548,0.5,300,1
549,0.5,300,1
550,0.5,300,1
551,0.5,300,1
552,0.5,300,1
553,0.5,300,1
554,0.5,300,1
555,0.5,300,1
556,0.5,300,1
557,0.5,300,1
558,0.5,300,1
559,0.5,300,1
560,0.5,300,1
561,0.5,300,1
562,0.5,300,1
563,0.5,300,1
564,0.5,300,1
565,0.5,300,1
566,0.5,300,1
567,0.5,300,1
568,0.5,300,1
569,0.5,300,1
570,0.5,300,1
571,0.5,300,1
572,0.5,300,1
573,0.5,300,1
574,0.5,300,1
575,0.5,300,1
576,0.5,300,1
577,0.5,300,1
578,0.5,300,1
579,0.5,300,1
580,0.5,300,1
581,0.5,300,1
582,0.5,300,1
583,0.5,300,1
584,0.5,300,1
585,0.5,300,1
586,0.5,300,1
587,0.5,300,1
588,0.5,300,1
589,0.5,300,1
590,0.5,300,1
591,0.5,300,1
592,0.5,300,1
593,0.5,300,1
594,0.5,300,1
595,0.5,300,1
596,0.5,300,1
597,0.5,300,1
598,0.5,300,1
599,0.5,300,1
600,0.437173,300,2
601,0.437173,300,2
602,0.437173,300,2
603,0.437173,300,2
604,0.437173,300,2
605,0.437173,300,2
606,0.437173,300,2
607,0.437173,300,2
608,0.437173,300,2
609,0.437173,300,2
610,0.437173,300,2
611,0.437173,300,2
612,0.437173,300,2
613,0.437173,300,2
614,0.437173,300,2
615,0.437173,300,2
616,0.437173,300,2
617,0.437173,300,2
618,0.437173,300,2
619,0.437173,300,2
620,0.437173,300,2
621,0.437173,300,2
622,0.437173,300,2
623,0.437173,300,2
624,0.437173,300,2
625,0.437173,300,2
626,0.437173,300,2
627,0.437173,300,2
628,0.437173,300,2
629,0.437173,300,2
630,0.437173,300,2
631,0.437173,300,2
632,0.437173,300,2
633,0.437173,300,2
634,0.437173,300,2
635,0.437173,300,2
636,0.437173,300,2
637,0.437173,300,2
638,0.437173,300,2
639,0.437173,300,2
640,0.437173,300,2
641,0.437173,300,2
642,0.437173,300,2
643,0.437173,300,2
644,0.437173,300,2
645,0.437173,300,2
646,0.437173,300,2
647,0.437173,300,2
648,0.437173,300,2
649,0.437173,300,2
650,0.437173,300,2
651,0.437173,300,2
652,0.437173,300,2
653,0.437173,300,2
654,0.437173,300,2
655,0.437173,300,2
656,0.437173,300,2
657,0.437173,300,2
658,0.437173,300,2
659,0.437173,300,2
660,0.437173,300,2
661,0.437173,300,2
662,0.437173,300,2
663,0.437173,300,2
664,0.437173,300,2
665,0.437173,300,2
666,0.437173,300,2
667,0.437173,300,2
668,0.437173,300,2
669,0.437173,300,2
670,0.437173,300,2
671,0.437173,300,2
672,0.437173,300,2
673,0.437173,300,2
674,0.437173,300,2
675,0.437173,300,2
676,0.437173,300,2
677,0.437173,300,2
678,0.437173,300,2
679,0.437173,300,2
680,0.437173,300,2
681,0.437173,300,2
682,0.437173,300,2
683,0.437173,300,2
684,0.437173,300,2
685,0.437173,300,2
686,0.437173,300,2
687,0.437173,300,2
688,0.437173,300,2
689,0.437173,300,2
690,0.437173,300,2
691,0.437173,300,2
692,0.437173,300,2
693,0.437173,300,2
694,0.437173,300,2
695,0.437173,300,2
696,0.437173,300,2
697,0.437173,300,2
698,0.437173,300,2
699,0.437173,300,2
700,0.437173,300,2
701,0.437173,300,2
702,0.437173,300,2
703,0.437173,300,2
704,0.437173,300,2
705,0.437173,300,2
706,0.437173,300,2
707,0.437173,300,2
708,0.437173,300,2
709,0.437173,300,2
710,0.437173,300,2
711,0.437173,300,2
712,0.437173,300,2
